, Name_x,City_x,Country_x,IATA_x, Name_y,City_y,Country_y,IATA_y,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,1,2,1608.0,1535,1649.0,1626,UA,991,N409UA,41.0,51.0,18.0,23.0,33.0,STT,SJU,68,5.0,18.0,0,,0,0.0,0.0,0.0,0.0,23.0
1,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,3,4,1553.0,1535,1634.0,1626,UA,991,N403UA,41.0,51.0,21.0,8.0,18.0,STT,SJU,68,6.0,14.0,0,,0,,,,,
2,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,4,5,1559.0,1535,1655.0,1626,UA,991,N405UA,56.0,51.0,19.0,29.0,24.0,STT,SJU,68,7.0,30.0,0,,0,0.0,0.0,5.0,0.0,24.0
3,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,8,2,1539.0,1550,1630.0,1637,UA,991,N413UA,51.0,47.0,19.0,-7.0,-11.0,STT,SJU,68,24.0,8.0,0,,0,,,,,
4,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,10,4,1734.0,1550,1843.0,1637,UA,991,N435UA,69.0,47.0,19.0,126.0,104.0,STT,SJU,68,7.0,43.0,0,,0,0.0,0.0,22.0,0.0,104.0
5,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,11,5,1542.0,1550,1634.0,1637,UA,991,N404UA,52.0,47.0,23.0,-3.0,-8.0,STT,SJU,68,14.0,15.0,0,,0,,,,,
6,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,15,2,1539.0,1550,1616.0,1637,UA,991,N409UA,37.0,47.0,19.0,-21.0,-11.0,STT,SJU,68,6.0,12.0,0,,0,,,,,
7,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,17,4,1551.0,1550,1642.0,1637,UA,991,N409UA,51.0,47.0,26.0,5.0,1.0,STT,SJU,68,5.0,20.0,0,,0,,,,,
8,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,18,5,1550.0,1550,1631.0,1637,UA,991,N413UA,41.0,47.0,21.0,-6.0,0.0,STT,SJU,68,6.0,14.0,0,,0,,,,,
9,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,22,2,1535.0,1550,1617.0,1637,UA,991,N405UA,42.0,47.0,19.0,-20.0,-15.0,STT,SJU,68,6.0,17.0,0,,0,,,,,
10,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,24,4,1527.0,1550,1607.0,1637,UA,991,N403UA,40.0,47.0,21.0,-30.0,-23.0,STT,SJU,68,5.0,14.0,0,,0,,,,,
11,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,25,5,1540.0,1550,1615.0,1637,UA,991,N405UA,35.0,47.0,18.0,-22.0,-10.0,STT,SJU,68,6.0,11.0,0,,0,,,,,
12,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,29,2,1551.0,1550,1629.0,1637,UA,991,N412UA,38.0,47.0,21.0,-8.0,1.0,STT,SJU,68,6.0,11.0,0,,0,,,,,
13,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,31,4,1551.0,1550,1649.0,1637,UA,991,N405UA,58.0,47.0,24.0,12.0,1.0,STT,SJU,68,12.0,22.0,0,,0,,,,,
14,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,5,6,1421.0,1412,1514.0,1503,UA,1063,N585UA,53.0,51.0,35.0,11.0,9.0,STT,SJU,68,6.0,12.0,0,,0,,,,,
15,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,6,7,1524.0,1412,1607.0,1503,UA,1063,N427UA,43.0,51.0,22.0,64.0,72.0,STT,SJU,68,11.0,10.0,0,,0,0.0,0.0,0.0,0.0,64.0
16,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,12,6,1506.0,1402,1550.0,1449,UA,1063,N524UA,44.0,47.0,21.0,61.0,64.0,STT,SJU,68,14.0,9.0,0,,0,11.0,0.0,0.0,0.0,50.0
17,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,2008,1,13,7,1438.0,1402,1519.0,1449,UA,1063,N404UA,41.0,47.0,23.0,30.0,36.0,STT,SJU,68,9.0,9.0,0,,0,0.0,0.0,0.0,0.0,30.0
